cik,Target,Acquiror,OperatingIncomeLoss.csv,Assets.csv,ProfitLoss.csv,Liabilities.csv,NetIncomeLoss.csv,StockholdersEquity.csv,Revenues.csv,EntityPublicFloat.csv,RevenueFromContractWithCustomerExcludingAssessedTax.csv
1750,0,0,#N/A,1486600000,12100000,#N/A,12100000,#N/A,#N/A,1355000000,#N/A
1800,0,1,#N/A,52666000000,#N/A,#N/A,798000000,20538000000,#N/A,#N/A,#N/A
1961,0,0,#N/A,93378,#N/A,#N/A,#N/A,-4778534,#N/A,#N/A,#N/A
2178,0,0,#N/A,246872000,#N/A,95560000,-168000,151312000,298969000,#N/A,#N/A
2186,0,0,#N/A,42544000,#N/A,6770000,#N/A,35774000,#N/A,#N/A,#N/A
2488,0,0,-3000000,3321000000,#N/A,#N/A,-51000000,477000000,#N/A,#N/A,#N/A
2491,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2969,0,0,328300000,15956200000,306400000,8695100000,299800000,7161500000,1882500000,#N/A,#N/A
3116,0,0,60796000,1973720000,#N/A,1154536000,32455000,819184000,#N/A,#N/A,#N/A
3146,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3453,0,0,37200000,2015500000,#N/A,#N/A,20000000,494900000,#N/A,#N/A,#N/A
3499,0,0,#N/A,1451230000,#N/A,1098385000,21655000,352845000,#N/A,#N/A,#N/A
3570,0,1,122000000,23703000000,150000000,#N/A,110000000,-1396000000,572000000,#N/A,#N/A
4127,0,1,321900000,4065700000,#N/A,405400000,257800000,3660300000,#N/A,#N/A,#N/A
4281,0,0,#N/A,20038000000,#N/A,14897000000,-1258000000,5115000000,#N/A,#N/A,#N/A
4447,0,0,#N/A,28621000000,#N/A,13030000000,#N/A,14534000000,#N/A,#N/A,#N/A
4457,0,0,131981000,9287317000,#N/A,6626613000,65228000,2660704000,790455000,#N/A,#N/A
4515,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4904,0,0,575900000,63467700000,375200000,46047600000,#N/A,17397000000,3790100000,34464089033,#N/A
4962,1,0,#N/A,1.59E+11,#N/A,1.38392E+11,825000000,20523000000,#N/A,#N/A,#N/A
4977,1,0,#N/A,1.29819E+11,#N/A,1.09337E+11,#N/A,20482000000,5955000000,#N/A,#N/A
5133,0,0,19099000,1657318000,#N/A,#N/A,6075000,461207000,445892000,#N/A,#N/A
5272,0,1,#N/A,4.98264E+11,-2506000000,4.21406E+11,-3041000000,76300000000,13010000000,#N/A,#N/A
5513,0,0,#N/A,61941500000,#N/A,52973500000,248000000,8968000000,2796500000,#N/A,#N/A
5768,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
