,source,target,weight
1,0,24,2.56
2,0,265,2.56
3,0,391,3.12
4,0,490,3.12
5,0,1010,2.96
6,0,1151,3.12
7,0,1408,2.12
8,0,1470,2.12
9,0,2503,1.72
10,0,2541,3.12
11,0,3209,2.12
12,1,64,3.12
13,1,84,4.8672
14,1,271,3.12
15,1,288,3.12
16,1,644,1.16
17,1,3545,3.12
18,1,3611,8.74538496
19,2,806,1.12
20,2,1563,1.12
21,2,1873,1.12
22,2,2368,1.12
23,2,3472,0.110146355
24,3,36,1.56
25,3,900,2.8
26,4,1282,1.16
27,4,1421,1.16
28,4,1427,2.8
29,4,1501,3.12
30,4,1600,1.72
31,4,1739,1.72
32,4,2759,1.16
33,4,3903,2.4
34,5,27,3.12
35,6,107,1.72
36,6,740,0.32
37,6,1017,1.72
38,6,2029,1.72
39,6,3627,1.16
40,7,2388,1.32
41,7,4255,2.16
42,8,629,2.4
43,8,2433,2.32
44,9,245,3.702459584
45,9,266,2.96
46,9,572,2.8
47,9,2040,3.702459584
48,9,4022,2.56
49,10,202,3.12
50,10,203,7.592832
51,10,1341,2.96
52,10,3283,3.12
53,10,3590,1.8096
54,11,1214,7.592832
55,11,4032,3.12
56,12,204,2.6832
57,12,206,2.96
58,12,662,2.96
59,12,986,2.2736
60,12,1294,2.56
61,12,2683,3.12
62,12,2716,1.96
63,12,2813,0.972505498
64,12,2939,3.12
65,12,3086,3.12
66,12,3506,1.72
67,12,4158,1.8
68,13,713,2
69,13,928,3.12
70,13,1234,1.72
71,13,1632,4.6176
72,13,2161,3.12
73,13,2446,2.56
74,13,2473,2.56
75,13,3166,1.56
76,14,207,1.72
77,14,4210,2.96
78,15,109,2.12
79,15,306,3.12
80,15,511,2.12
81,15,1958,3.12
82,15,2330,3.12
83,15,3816,2.56
84,15,3865,2.96
85,16,35,2.8
86,17,25,711.3672589
87,17,510,2.12
88,17,579,2.96
89,17,584,1.72
90,17,906,3.12
91,17,1641,1.96
92,17,2307,1.72
93,17,2882,3.12
94,17,3172,1.72
95,17,3276,3.12
96,17,3588,1.72
97,17,3686,3.12
98,18,31,0.351232
99,18,350,0.351232
100,19,347,3.12
101,19,441,1.72
102,19,1702,1.72
103,19,2882,2.56
104,19,3295,3.12
105,19,3795,2.12
106,19,4296,2.56
107,21,70,3.12
108,21,304,3.12
109,21,4202,2.96
110,22,796,3.12
111,22,844,2.56
112,22,957,3.12
113,22,1047,1.56
114,22,3928,2.12
115,22,3980,1.72
116,25,584,1.72
117,25,906,3.12
118,25,3172,1.72
119,27,154,2.72
120,30,634,2.56
121,30,2553,3.12
122,31,350,0.351232
123,33,983,1.72
124,34,3982,1.12
125,38,454,3.12
126,41,53,377.4647104
127,41,108,377.4647104
128,41,132,8.34E-05
129,41,288,2.56
130,41,337,377.4647104
131,41,344,8.34E-05
132,41,359,2
133,41,439,1.56
134,41,464,2
135,41,550,2.12
136,41,617,1.56
137,41,987,1.12
138,41,1561,2
139,41,1978,377.4647104
140,41,2065,8.34E-05
141,41,2157,377.4647104
142,41,2505,2
143,41,2604,2.12
144,41,2800,2.12
145,41,3970,1.12
146,41,3971,1.56
147,41,4103,0.96
148,41,4145,2.4
149,42,1077,0.32
150,42,1735,0.56
151,42,2105,1.72
152,42,3644,0.72
153,42,3922,1.16
154,42,4028,1.16
155,43,204,3.12
156,43,2041,2.96
157,43,2770,3.12
158,43,2971,3.12
159,43,3129,2.96
160,43,3203,3.12
161,44,390,1.72
162,44,556,1.8096
163,44,562,3.12
164,44,843,1.56
165,44,1402,3.12
166,44,1768,1.72
167,44,1931,3.12
168,44,1989,2
169,44,2070,2.12
170,44,2811,2.12
171,44,2855,0.32
172,44,3190,2.96
173,44,4008,1.96
174,44,4210,1.96
175,45,0,2.96
176,45,180,2.96
177,45,265,2.4
178,45,267,2.96
179,45,530,2.4
180,45,961,1.96
181,45,1958,2.96
182,45,2025,2.96
183,45,2206,2.8
184,45,3209,1.96
185,45,3859,2.4
186,46,17,3.12
187,46,25,3.12
188,46,190,3.12
189,46,220,2.56
190,46,384,3.12
191,46,407,3.12
192,46,489,1.56
193,46,588,3.12
194,46,596,3.12
195,46,1891,2.96
196,46,2107,3.12
197,46,2768,1.72
198,46,3883,2.96
199,46,3961,2.12
200,47,22,3.12
201,47,109,2.12
202,47,113,0.72
203,47,336,3.12
204,47,339,1.72
205,47,485,1.16
206,47,489,2.12
207,47,778,3.12
208,47,1382,1.12
209,47,1397,1.96
210,47,1448,1.56
211,47,1556,1.56
212,47,1584,0.72
213,47,1715,2.56
214,47,1788,1.56
215,47,1829,2.96
216,47,2088,2.12
217,47,2110,3.12
218,47,2128,1.56
219,47,2183,1.56
220,47,2444,2.4
221,47,2671,2.12
222,47,2884,2.12
223,47,4211,2.56
224,48,828,3.12
225,48,841,2.7472
226,48,940,3.4336
227,48,2234,3.12
228,48,2394,2.96
229,48,2545,1.4
230,48,3071,2.96
231,48,3518,3.12
232,49,33,3.12
233,49,66,3.12
234,49,263,1.16
235,49,461,2.5232
236,49,760,4.8672
237,49,820,3.12
238,49,1809,3.12
239,49,2261,1.72
240,49,3096,2.56
241,49,3804,1.16
242,50,196,1.72
243,50,951,3.12
244,50,2255,1.72
245,50,3128,3.12
246,51,506,0.96
247,52,252,3.12
248,52,493,2.56
249,52,796,3.12
250,52,1161,0.32
251,52,1602,3.12
252,52,1615,3.12
253,52,1715,3.12
254,52,1923,3.9936
255,52,2388,1.72
256,52,2484,3.12
257,52,2712,3.12
258,52,2936,3.12
259,52,3190,3.12
260,52,3852,2.56
261,52,4257,2.56
262,53,108,94.30697375
263,53,132,377.4647104
264,53,288,3.12
265,53,337,94.30697375
266,53,344,377.4647104
267,53,359,2.56
268,53,464,2.16
269,53,1561,2.56
270,53,1978,94.30697375
271,53,2065,377.4647104
272,53,2157,94.30697375
273,53,2505,2.56
274,54,255,3.12
275,54,274,3.12
276,54,452,3.3072
277,54,1212,3.12
278,54,1555,3.12
279,54,1824,3.12
280,54,1917,2.12
281,54,1991,3.12
282,54,2716,2.56
283,54,3180,3.12
284,54,3494,2.96
285,54,3850,2.72
286,55,311,2.56
287,55,482,3.12
288,55,1490,3.12
289,55,2670,2.96
290,55,3813,3.12
291,56,353,2.12
292,56,3264,3.12
293,56,3721,0.56
294,56,3958,4.8672
295,57,254,3.12
296,57,439,1.1232
297,57,617,1.1232
298,57,1722,1.56
299,57,1774,2.96
300,57,3971,1.1232
301,58,784,1.56
302,58,1236,3.12
303,58,4101,0.019185664
304,59,404,3.12
305,59,927,1.96
306,59,1551,3.12
307,59,1596,0.32
308,59,3463,2.96
309,60,2166,3.12
310,61,823,1.72
311,62,1217,3.12
312,62,2049,4.8672
313,63,242,1.72
314,63,961,2.4
315,63,3413,2.96
316,64,19,3.12
317,64,145,2.8
318,64,175,2.8
319,64,347,2.12
320,64,349,2.8
321,64,516,2.56
322,64,579,2.56
323,64,1348,3.12
324,64,1702,4.6176
325,64,2550,2.8
326,64,3795,2.12
327,64,3938,3.12
328,64,4296,2.56
329,65,1111,3.12
330,65,1379,3.12
331,66,304,3.12
332,67,410,1.72
333,67,1697,2.56
334,69,1824,2.12
335,69,1923,3.921856
336,69,2237,2.4
337,73,308,3.12
338,76,3217,2.56
339,77,47,1.56
340,77,66,2.56
341,77,318,2.56
342,77,342,2.56
343,77,1163,2.56
344,77,1380,2.56
345,77,1397,2.4
346,77,1402,2.56
347,77,1450,2.56
348,77,1584,1.16
349,77,1931,2.56
350,78,307,2.56
351,78,1120,1.8
352,78,1175,0.56
353,78,2116,2
354,78,2150,1.8
355,78,2541,2.96
356,79,100,2.4
357,79,130,3.12
358,79,141,2.96
359,79,796,1.72
360,79,1090,2.12
361,79,1113,2.96
362,79,2015,1.96
363,79,3075,2.12
364,80,963,3.12
365,80,1618,3.12
366,80,1944,1.56
367,80,3696,3.12
368,80,3872,3.12
369,80,4125,1.8736
370,81,64,2.8
371,81,99,1.889009992
372,81,145,1.889009992
373,81,175,1.889009992
374,81,265,2.4
375,81,340,3.744
376,81,349,1.889009992
377,81,1907,1.889009992
378,81,2550,1.889009992
379,81,4271,2
380,83,130,1.72
381,83,388,3.12
382,83,489,2.12
383,83,1072,1.72
384,83,1143,1.96
385,83,1172,1.72
386,83,1286,1.96
387,83,3873,1.56
388,83,4124,1.16
389,84,64,7.203456
390,84,204,3.12
391,84,252,1.72
392,84,271,3.12
393,84,272,3.12
394,84,367,2.96
395,84,382,2.96
396,84,729,3.12
397,84,1702,2.96
398,84,2463,1.72
399,84,3079,1.72
400,84,3861,2.96
401,85,3380,3.12
402,86,20,3.12
403,86,155,3.12
404,86,1936,2.96
405,87,920,3.12
406,87,2618,3.12
407,88,1821,3.12
408,88,3323,1.72
409,89,3597,2.12
410,89,3621,1.56
411,90,290,7.592832
412,90,489,1.72
413,90,1499,1.6496
414,90,1514,1.32
415,90,1824,2.12
416,90,1944,1.72
417,92,534,3.12
418,92,1197,3.12
419,92,1686,3.12
420,92,1687,3.12
421,93,621,3.12
422,94,96,2.4592
423,94,274,3.12
424,94,441,3.12
425,94,506,3.12
426,94,1724,2.12
427,94,2153,3.12
428,96,64,1.72
429,96,274,1.72
430,96,351,1.72
431,96,441,2.4592
432,96,1102,1.56
433,96,1702,1.72
434,96,2461,0.32
435,96,3938,1.72
436,97,447,0.32
437,97,3860,0.32
438,98,242,1.12
439,98,2443,1.12
440,99,64,2.8
441,99,145,1.889009992
442,99,175,1.889009992
443,99,265,2.4
444,99,340,3.744
445,99,349,1.889009992
446,99,1907,1.889009992
447,99,2550,1.889009992
448,99,4271,2
449,100,347,1.12
450,100,1964,3.12
451,100,3924,2.12
452,100,4210,1.56
453,101,263,1.72
454,101,604,3.12
455,101,1821,3.12
456,101,3804,1.72
457,102,1434,4.8672
458,102,3663,1.72
459,104,32,2.96
460,105,495,3.12
461,105,1984,3.12
462,106,630,2.8
463,107,584,0.32
464,107,978,3.12
465,107,1404,1.96
466,107,1601,2.56
467,108,1561,2.56
468,108,2505,2.56
469,109,4211,1.8736
470,110,2503,1.16
471,111,411,3.12
472,111,2246,3.12
473,113,1788,1.16
474,114,1701,10.63567704
475,114,3812,3.12
476,115,311,1.56
477,116,37,1.16
478,120,502,3.12
479,120,1536,2.56
480,121,123,1.72
481,121,486,1.56
482,121,2396,1.72
483,121,3494,2.12
484,122,129,1.56
485,122,476,2.96
486,122,1809,2.4
487,122,2793,2.8
488,123,1080,3.12
489,123,1194,2.4
490,123,1998,3.12
491,123,2396,3.12
492,123,3221,4.6176
493,124,54,3.12
494,124,1056,2.8
495,124,1824,3.12
496,124,1853,2.56
497,124,1917,2.12
498,124,2354,2.4
499,124,3239,2.8
500,124,3761,3.12
501,124,3850,2.72
502,124,3933,2.8
503,125,396,0.96
504,125,859,0.72
505,126,142,1.72
506,126,437,3.12
507,126,1147,2.72
508,126,1276,1.72
509,126,1617,3.12
510,126,1954,3.12
511,127,1619,3.12
512,127,3237,1.72
513,127,3396,2.96
514,128,796,3.12
515,128,2573,2.12
516,129,87,3.12
517,129,144,3.12
518,129,360,2.56
519,129,869,2.56
520,129,920,3.12
521,130,141,2.96
522,130,796,1.72
523,130,1162,1.12
524,130,1172,3.12
525,130,2388,2.12
526,130,4274,2.56
527,131,506,4.8672
528,131,2944,1.72
529,131,3856,0.96
530,131,3974,0.96
531,131,4076,0.96
532,131,4162,0.96
533,131,4232,0.96
534,131,4265,2
535,131,4297,2
536,132,108,377.4647104
537,132,337,377.4647104
538,132,344,8.34E-05
539,132,439,1.56
540,132,1561,2
541,132,1978,377.4647104
542,132,2065,8.34E-05
543,132,2157,377.4647104
544,132,2505,2
545,132,2800,2.12
546,132,3970,1.12
547,132,3971,1.56
548,132,4103,0.96
549,133,103,2.8
550,133,271,2.4
551,133,347,2.56
552,133,409,3.12
553,133,433,1.72
554,133,579,3.12
555,133,843,3.12
556,133,2657,3.12
557,133,2686,3.12
558,133,3588,1.16
559,134,370,2.8
560,134,904,3.12
561,134,1151,2.96
562,134,1479,2.4
563,134,3331,2.4
564,135,186,3.12
565,135,266,2.96
566,135,409,3.12
567,135,900,2.12
568,135,1154,3.12
569,138,514,2.72
570,139,453,2.96
571,139,478,3.12
572,139,840,2.12
573,139,1017,3.12
574,139,1641,2.12
575,139,2100,1.56
576,141,768,2.12
577,141,796,1.56
578,141,2657,3.12
579,141,3869,1.852032
580,142,3737,2.72
581,142,4108,2.56
582,143,1022,1.72
583,145,349,1.889009992
584,145,2550,1.889009992
585,145,4271,2
586,147,107,3.12
587,147,409,3.12
588,147,1789,3.12
589,147,3291,1.56
590,148,412,2.72
591,148,584,1.4096
592,148,1958,2.72
593,148,4173,2.16
594,151,410,3.12
595,151,983,1.72
596,151,1919,1.72
597,151,2045,2.12
598,151,3212,3.12
599,151,3567,2.12
600,154,3150,1.32
601,156,352,2
602,156,482,3.12
603,156,640,3.12
604,156,883,3.12
605,156,1063,2.6832
606,156,2140,3.12
607,156,2658,2.12
608,156,2787,2.7472
609,156,3961,2.96
610,157,12,3.12
611,157,22,2.12
612,157,632,1.8
613,157,796,2.12
614,157,1538,3.12
615,157,1589,1.72
616,157,2802,2.12
617,157,3570,2.12
618,157,3573,1.852032
619,157,3980,2.56
620,157,4152,1.20221696
621,158,137,3.12
622,158,373,3.12
623,158,604,1.72
624,159,52,2.96
625,159,758,3.12
626,159,796,2.96
627,159,1012,3.12
628,159,2712,2.96
629,159,2793,3.12
630,159,3177,2.4
631,159,3964,3.12
632,160,442,0.32
633,161,19,4.185792
634,161,84,2.96
635,161,94,3.12
636,161,96,1.72
637,161,190,2.96
638,161,252,1.56
639,161,258,2.56
640,161,274,3.12
641,161,347,2.56
642,161,366,0.72
643,161,441,3.12
644,161,465,3.12
645,161,1134,0.72
646,161,1702,3.12
647,161,2627,3.12
648,161,3494,0.72
649,161,3844,3.12
650,162,57,1.72
651,162,141,1.72
652,162,148,0.32
653,162,763,1.72
654,162,768,0.72
655,162,1314,0.32
656,162,1394,1.16
657,162,2440,0.32
658,162,2804,1.56
659,164,71,2.96
660,164,1015,3.12
661,164,1264,3.12
662,164,1962,2.12
663,165,291,3.12
664,165,816,3.12
665,165,1191,2.12
666,165,1510,2.12
667,165,2234,3.12
668,165,3214,3.12
669,165,4291,2.56
670,166,2238,3.12
671,166,2613,1.96
672,166,3141,1.72
673,166,3695,3.12
674,167,243,2.12
675,167,1962,1.1232
676,167,2657,3.12
677,167,3521,2.12
678,167,3804,2.12
679,167,4098,0.96
680,168,18,1.12
681,168,31,1.12
682,168,350,1.12
683,168,781,1.96
684,168,1587,2.12
685,168,3401,1.12
686,168,3617,1.12
687,168,3637,2.12
688,169,2359,2.12
689,169,2686,4.8672
690,170,495,3.12
691,170,538,1.72
692,170,564,2.12
693,170,1203,3.12
694,170,2162,3.12
695,170,2815,1.96
696,172,3590,3.4336
697,174,2557,3.12
698,175,145,1.889009992
699,175,265,2.4
700,175,349,1.889009992
701,175,2550,1.889009992
702,175,4271,2
703,177,986,1.16
704,177,1156,0.32
705,177,1219,1.72
706,177,3802,0.72
707,177,4102,0.72
708,178,942,1.96
709,178,2078,1.4
710,179,370,2.8
711,179,490,2.8
712,179,945,1.96
713,179,2401,1.8
714,181,1213,2.12
715,183,910,2.4
716,185,2207,1.72
717,187,191,3.12
718,188,242,1.72
719,191,119,3.12
720,192,86,4.6176
721,192,121,2.96
722,192,361,3.12
723,192,497,3.12
724,192,558,3.12
725,192,1007,2.96
726,193,338,3.12
727,193,769,3.12
