,OperatingIncomeLoss.csv,Assets.csv,ProfitLoss.csv,Liabilities.csv,NetIncomeLoss.csv,StockholdersEquity.csv,Revenues.csv,EntityPublicFloat.csv,RevenueFromContractWithCustomerExcludingAssessedTax.csv,Target
0,,,,,,,,,,0
1,,-0.2563126368847942,,-0.20967116316246154,,-0.18719539124185358,,,,0
2,0.42100653232271507,1.1072674561377878,0.4119295494529289,0.7483523273230027,0.34364614417267714,0.9391179207122327,2.636917427128616,,,0
3,,,,,,,,,,0
4,,,,,,,,,,0
5,,,,,,,,,,0
6,,,,,,,,,,0
7,,,,,,,,,,0
8,,,,,,,,,,1
9,,,,,,,,,,0
10,,,,,,,,,,0
11,,,,,,,,,,0
12,,,,,,,,,,0
13,-0.2062974281765611,-0.1594640747160913,-0.279740919121978,-0.1280030594798594,,-0.089344655721415,-0.14934016950206222,,,0
14,,,,,,,-0.21900087662807832,,,0
15,,,,,,,-0.12803812258806294,,,1
16,,,,,,,,,,0
17,,,,,,,,,,0
18,,,,,,,,,,0
19,,,,,,,-0.21611217531489474,,,1
20,0.009604565204039826,,,,,,-0.1007646483316812,,,0
21,,,,,,,,,,0
22,,,,,,,,,,0
23,,,,,,,,,,0
24,,,,,,,,,,0
25,-0.13024376476346786,-0.25681123593078065,,-0.2078538832781141,-0.14143752038927127,-0.20273205027762903,,,,0
26,-0.008102331813039498,-0.16072327205976794,,,0.0007752470683829478,,-0.18665808994604516,,,0
27,,,,,,,,,,0
28,,,,,,,,,,0
29,,,,,,,,,,0
30,,,,,,,,,,0
31,,,,,,,,,,1
32,,,,,,,,,,0
33,,,,,,,-0.1437332885977601,,,1
34,,,,,,,,,,0
35,,,,,,,,,,1
36,,0.042214328823630624,0.18275935902683146,0.16562501168078,0.21723657887790576,-0.1364621478342223,,,,0
37,,,,,,,,,,1
38,,,,,,,-0.2175840294750454,,,0
39,,1.2419615485237343,0.5750987250363103,,0.5483092498880212,1.4432829921635804,,,,0
40,-0.1089485826555102,,,,,,-0.1489507865668287,,,0
41,-0.13979786697847804,-0.2595732806860521,,-0.2064737005077678,-0.15673909729304786,-0.2208345075350083,-0.22128916812417665,,,0
42,,-0.24812831595921295,-0.1319353131047622,-0.20049179335391382,-0.12764884526695908,-0.18359211845128975,,,,0
43,,,,,,,,,,0
44,,,,,,,,,,0
45,-0.08678466812767487,,,,,,-0.17224175350788548,,,0
46,,,,,,,,,,0
47,,,,,,,,,,0
48,,,,,,,1.278511552024505,,,0
49,,,,,,,,,,0
50,0.42882414689979204,,,,,,,,,0
51,,,,,,,-0.22071181591097197,,,0
52,-0.1094088447137356,-0.24635823546832436,-0.10816394759224397,-0.20441472239880218,-0.11062769697496629,-0.17115465088297752,-0.20716820264544922,,,0
53,,,,,,,-0.1602318902871771,,,0
54,-0.10337071465476579,-0.21564785925544405,,,-0.08428635136877964,,,,,1
55,-0.048382590921428555,-0.20413423902551447,-0.02997291198038292,,-0.061743312224545405,,-0.13054944249483869,,,0
56,,,,,,,,-0.08199102801983904,,0
57,,,,,,,,,,0
58,,,,,,,,,,0
59,,,,,,,,,,0
60,,,,,,,,,,0
61,,,,,,,-0.20102492007779887,,,0
62,-0.1286137921241473,-0.2593997331206168,,-0.20914154998162093,-0.13182437392375937,-0.19666691096872901,-0.22256749763201303,,,0
63,,,,,,,,,,0
64,,,,,,,,,,0
65,,,,,,,,,,0
66,,-0.2573163926548649,,-0.20804457376052393,,-0.19322410001818194,,,,0
67,-0.09827753875780014,-0.24498860436250183,,,-0.08262898151269263,,,,,0
68,,,,,,,,-0.08042910778202482,,0
69,,,,,,,-0.2010464228169449,,,0
70,,,,,,,,,,0
71,-0.30453259575028807,0.21628287561470172,-0.3173541641362326,0.05215550126567122,-0.4969935170458439,0.29453039835742445,,,,0
